propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
81403739,950.0,flat,rent,1,1,68.0,"avenida de la cruz, 7",Sevilla,Sevilla,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín,37.3868541,-5.9648344,4475,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{'typology': 'flat'}
106542637,850.0,flat,rent,1,1,47.0,Barrio Encarnación-Las Setas,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.394041,-5.9955363,3333,True,1,,18.0,{'typology': 'flat'}
108652298,2300.0,duplex,rent,5,3,230.0,Barrio San Vicente,Sevilla,Sevilla,Centro,San Vicente,37.3974726,-5.9987043,3622,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
108663651,2300.0,duplex,rent,5,3,235.0,Barrio San Vicente,Sevilla,Sevilla,Centro,San Vicente,37.4002724,-5.9956734,3990,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
108581084,900.0,flat,rent,3,2,90.0,Barrio Jardines de Hércules,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Jardines de Hércules,37.3329709,-5.9664884,5167,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,{'typology': 'flat'}
95978077,5500.0,chalet,rent,5,6,482.0,"calle la Noria, 21 -17",Sevilla,Tomares,Santa Eufemia,,37.3761278,-6.036351,2763,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108657668,1000.0,flat,rent,1,1,72.0,plaza Aviador Ruiz de Alda,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Prado de San Sebastián - Ramón Carande,37.3768465,-5.9824743,2567,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{'typology': 'flat'}
108763786,1250.0,duplex,rent,2,2,80.0,"CL GOLES, 10",Sevilla,Sevilla,Centro,San Vicente,37.3939625,-6.0013625,3192,True,bj,,16.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
99611622,1900.0,flat,rent,3,2,86.0,calle Gravina,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3910997,-5.9991892,2924,True,2,,22.0,{'typology': 'flat'}
99624190,1200.0,flat,rent,1,1,53.0,GRAVINA,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3923031,-6.0017918,3003,True,bj,,23.0,{'typology': 'flat'}
