id,Planta,Ascensor,EXT-INT,titulo,localización,precio,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108627045,1, No,Exterior,Alquiler de piso en calle del Amparo s/n,Lavapiés-Embajadores,1190,58,,,False,Segunda mano/buen estado,True,,,Gas natural,True,Calle del Amparo s/n,Distrito Centro,"Madrid capital, Madrid",
106927958,1, No,Exterior,Alquiler de piso en calle de Juanelo,Lavapiés-Embajadores,2090,46,,,True,Segunda mano/buen estado,True,Sur,1900.0,Eléctrica,True,Calle de Juanelo,Distrito Centro,"Madrid capital, Madrid",
108101574,1, No,Interior,Alquiler de piso en costanilla de los Desamparados,Huertas-Cortes,1600,59,,,True,Segunda mano/buen estado,True,,,,False,,Distrito Centro,"Madrid capital, Madrid",
108620100,1, No,Interior,Alquiler de piso en calle del Conde de Romanones s/n,Lavapiés-Embajadores,2633,90,2.0,2.0,False,Segunda mano/buen estado,True,,,,True,Calle del Conde de Romanones s/n,Distrito Centro,"Madrid capital, Madrid",
108618818,1, No,Interior,"Alquiler de estudio en calle de la Escuadra, 9",Lavapiés-Embajadores,990,30,,,False,Segunda mano/buen estado,True,,,,True,"Calle de la Escuadra, 9",Distrito Centro,"Madrid capital, Madrid",
107038424,1, No,Exterior,Alquiler de piso en calle del Gobernador,Huertas-Cortes,1400,80,,,False,Segunda mano/buen estado,True,,,,False,Calle del Gobernador,Distrito Centro,"Madrid capital, Madrid",
108388674,1, No,Exterior,Alquiler de piso en calle de la Madera,Malasaña-Universidad,3000,120,2.0,2.0,False,Segunda mano/buen estado,True,Sur,1900.0,Eléctrica,True,Calle de la Madera,Distrito Centro,"Madrid capital, Madrid",
38968910,1, No,Exterior,"Alquiler de piso en cava alta, 10",Palacio,3195,95,3.0,2.0,False,Segunda mano/buen estado,True,,,,False,,Distrito Centro,"Madrid capital, Madrid",
104498649,1, No,Exterior,Alquiler de piso en calle de las Huertas,Huertas-Cortes,3800,120,2.0,2.0,False,Segunda mano/buen estado,True,Norte,,Gas natural,True,Calle de las Huertas,Distrito Centro,"Madrid capital, Madrid",
108588507,1, No,Interior,Alquiler de estudio en CL Meson De Paredes,Lavapiés-Embajadores,1000,30,,,False,Segunda mano/buen estado,True,Sur,1880.0,Bomba de frío/calor,True,,Distrito Centro,"Madrid capital, Madrid",
108439185,1, No,Interior,Alquiler de piso en calle de la Cava Baja,Palacio,1100,40,,,True,Segunda mano/buen estado,False,,,,False,Calle de la Cava Baja,Distrito Centro,"Madrid capital, Madrid",
108439185,1, No,Interior,Alquiler de piso en calle de la Cava Baja,Palacio,1100,40,,,True,Segunda mano/buen estado,False,,,,False,Calle de la Cava Baja,Distrito Centro,"Madrid capital, Madrid",
108605366,1, No,Interior,Alquiler de piso en calle de la Encomienda,Lavapiés-Embajadores,1150,52,2.0,,False,Segunda mano/buen estado,True,Sur,1880.0,Gas natural,False,Calle de la Encomienda,Distrito Centro,"Madrid capital, Madrid",
97784611,1, No,Interior,Alquiler de estudio en calle Peña de Francia,Lavapiés-Embajadores,800,27,,,False,Segunda mano/buen estado,False,,,,False,Calle Peña de Francia,Distrito Centro,"Madrid capital, Madrid",
106168907,1, No,Exterior,Alquiler de estudio en calle de San Marcos,Chueca-Justicia,1360,40,,,False,Segunda mano/buen estado,True,,,,True,Calle de San Marcos,Distrito Centro,"Madrid capital, Madrid",
108093564,1, No,Exterior,Alquiler de piso en Malasaña-Universidad,Centro,1900,40,,,False,Segunda mano/buen estado,False,,1900.0,,True,,Distrito Centro,"Madrid capital, Madrid",
108283185,1, No,Exterior,Alquiler de estudio en Malasaña-Universidad,Centro,1700,35,,,False,Segunda mano/buen estado,False,,1900.0,,True,,Distrito Centro,"Madrid capital, Madrid",
108600004,1, No,Interior,Alquiler de piso en calle de Echegaray,Huertas-Cortes,990,38,,,False,Segunda mano/buen estado,False,,,,False,Calle de Echegaray,Distrito Centro,"Madrid capital, Madrid",
