id;Planta;Ascensor;EXT-INT
108141672;1; No;Exterior
105803801;1; No;Exterior
108643936;1; No;Exterior
108171847;1; No;Exterior
94863598;1; No;Exterior
108702044;1; No;Interior
108677631;1; No;Exterior
108700197;1; No;Exterior
30733638;1; No;Exterior
108667104;1; No;Exterior
108512858;1; No;Exterior
91694097;1; No;Exterior
108659622;1; No;Exterior
108436289;1; No;Exterior
108445624;1; No;Exterior
106001350;1; No;Exterior
108034349;1; No;Exterior
108424592;1; No;Exterior
104875348;1; No;Exterior
107834047;1; No;Interior
108625170;1; No;Exterior
2102575;1; No;Exterior
105787188;1; No;Exterior
107218625;1; No;Interior
108514168;1; No;Exterior
91871530;1; No;Exterior
108489790;1; No;Exterior
107687575;1; No;Exterior
108436999;2; No;Exterior
108070861;2; No;Exterior
92468140;2; No;Exterior
108639484;2; No;Interior
101580197;2; No;Exterior
99076112;2; No;Exterior
98446369;2; No;Exterior
107008925;2; No;Exterior
105496693;2; No;Interior
108507963;2; No;Exterior
108610946;2; No;Exterior
108501707;2; No;Exterior
108150204;2; No;Exterior
107997097;2; No;Interior
108650771;2; No;Exterior
95193604;2; No;Interior
107792764;2; No;Exterior
95573195;2; No;Interior
108602317;2; No;Exterior
108621362;2; No;Interior
108500816;2; No;Exterior
107114360;2; No;Interior
108128662;2; No;Exterior
108601821;2; No;Interior
108510118;2; No;Exterior
100906705;2; No;Exterior
107375225;2; No;Interior
108431453;2; No;Exterior
108482316;2; No;Exterior
103058645;2; No;Exterior
108376272;2; No;Interior
108479563;2; No;Interior
106079699;2; No;Exterior
99015372;2; No;Exterior
108631644;2; No;Exterior
107837957;2; No;Exterior
103271657;2; No;Interior
27262710;2; No;Interior
106813088;2; No;Exterior
104625599;2; No;Interior
108495358;2; No;Exterior
89037043;2; No;Exterior
105046226;2; No;Interior
107901790;2; No;Interior
31576647;2; No;Exterior
107289410;2; No;Exterior
108034395;2; No;Exterior
105728566;2; No;Exterior
107734141;2; No;Interior
85485680;2; No;Exterior
108551970;2; No;Interior
94352967;2; No;Exterior
40450683;2; No;Exterior
102283536;2; No;Exterior
104841078;2; No;Interior
108629537;2; No;Interior
108301152;2; No;Exterior
106557301;2; No;Interior
107141343;2; No;Interior
107260009;2; No;Exterior
104512012;2; No;Exterior
108358258;2; No;Exterior
108227471;2; No;Interior
108628006;2; No;Exterior
