propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
107829543,500000.0,flat,sale,3,2,97.0,Barrio Calle Betis - Pagés del Corro,Sevilla,Sevilla,Triana,Calle Betis - Pagés del Corro,37.3868306,-6.0044169,2366,True,,,5155.0,{'typology': 'flat'}
108767380,149000.0,flat,sale,3,1,86.0,CL AGUILA PERDICERA,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3661755,-5.951471,4991,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1733.0,{'typology': 'flat'}
108186922,590000.0,flat,sale,4,2,160.0,"calle Monte Carmelo, 4",Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3785504,-5.9972359,1710,True,1,,3688.0,{'typology': 'flat'}
102004315,140000.0,chalet,sale,3,2,244.0,calle Sinceridad,Sevilla,Sevilla,Cerro Amate,Palmete-Padre Pío-Hacienda San Antonio,37.3728363,-5.9304344,6894,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",574.0,{'typology': 'chalet'}
108611678,135000.0,flat,sale,3,1,56.0,"calle Blanca Paloma, 1",Sevilla,Sevilla,Macarena,Doctor Fedriani,37.4076098,-5.9823996,5174,True,3,,2411.0,{'typology': 'flat'}
105420724,748000.0,chalet,sale,4,4,500.0,calle Fuenteclara,Sevilla,Mairena del Aljarafe,Simon Verde,,37.3456096,-6.0389501,3537,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1496.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108286046,79000.0,flat,sale,2,1,60.0,calle Guadalajara,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Bellavista,37.3245664,-5.9661322,5883,,,,1317.0,{'typology': 'flat'}
108763067,165000.0,flat,sale,3,1,88.0,San Diego,Sevilla,Sevilla,Macarena,Los Carteros - San Diego,37.4147637,-5.9701297,6393,True,8,,1875.0,{'typology': 'flat'}
108728975,143000.0,flat,sale,3,1,69.0,calle Juan Talavera Heredia,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3688297,-5.9561901,4586,True,bj,,2072.0,{'typology': 'flat'}
108543774,365000.0,flat,sale,1,1,75.0,calle Reinoso s/n,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3854585,-5.989255,2745,True,2,,4867.0,{'typology': 'flat'}
108710340,430000.0,flat,sale,4,2,165.0,CL JOSE LAGUILLO,Sevilla,Sevilla,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3938535,-5.9792102,4027,True,1,,2606.0,{'typology': 'flat'}
108611678,135000.0,flat,sale,3,1,56.0,"calle Blanca Paloma, 1",Sevilla,Sevilla,Macarena,Doctor Fedriani,37.4076098,-5.9823996,5174,True,3,,2411.0,{'typology': 'flat'}
108286046,79000.0,flat,sale,2,1,60.0,calle Guadalajara,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Bellavista,37.3245664,-5.9661322,5883,,,,1317.0,{'typology': 'flat'}
108632287,227500.0,flat,sale,3,1,61.0,"calle Lora del Río, 1",Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3694401,-5.9742075,3009,True,bj,,3730.0,{'typology': 'flat'}
106415826,143000.0,flat,sale,1,1,45.0,"calle Argantonio, 1",Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa,37.3980405,-5.9715158,4823,True,bj,,3178.0,{'typology': 'flat'}
108767380,149000.0,flat,sale,3,1,86.0,CL AGUILA PERDICERA,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3661755,-5.951471,4991,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1733.0,{'typology': 'flat'}
105054093,180000.0,flat,sale,2,1,81.0,avenida Andalucía (Resid. Sta. Isabel),Sevilla,Sevilla,Cerro Amate,Santa Aurelia,37.3863464,-5.9441375,6086,True,4,,2222.0,{'typology': 'flat'}
103341242,89000.0,flat,sale,3,1,72.0,calle Comunidad Canaria,Sevilla,Sevilla,Macarena,Villegas - Los Príncipes,37.4129119,-5.9749145,6002,,,,1236.0,{'typology': 'flat'}
107617916,155000.0,flat,sale,2,1,95.0,calle Alonso Mingo,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Bellavista,37.3206829,-5.9654755,6259,True,2,,1632.0,{'typology': 'flat'}
108445246,173000.0,flat,sale,3,1,73.0,Barrio La Salle-Avd Manuel del Valle-Las Naciones,Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,La Salle-Avd Manuel del Valle-Las Naciones,37.4057854,-5.968989,5628,True,4,,2370.0,{'typology': 'flat'}
108186408,207050.0,flat,sale,2,1,70.0,"calle Julio Verne, 60",Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3746414,-5.9573577,4578,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2958.0,{'typology': 'flat'}
107863651,119500.0,flat,sale,3,1,58.0,calle Don Cerebruno,Sevilla,San Juan de Aznalfarache,Barrio Bajo,,37.3691375,-6.0259281,1633,True,3,,2060.0,{'typology': 'flat'}
106336447,123900.0,flat,sale,3,1,88.0,Grupo Nueva Europa s/n,Sevilla,Sevilla,Cerro Amate,Su Eminencia - La Oliva,37.3628786,-5.9705803,3317,True,6,,1408.0,{'typology': 'flat'}
108664529,120000.0,chalet,sale,4,2,125.0,calle Fuentes de Andalucía,Sevilla,Sevilla,Cerro Amate,Palmete-Padre Pío-Hacienda San Antonio,37.3708633,-5.9415423,5895,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",960.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
