precio;vivienda;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;precio_m2;tipo_vivienda
2250;piso;82;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.44;Piso
2110;piso;71;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.72;Piso
1800;piso;56;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;32.14;Piso
3240;piso;168;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;19.29;Piso
1800;piso;81;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;22.22;Piso
1600;piso;48;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;33.33;Piso
2200;piso;90;3;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;24.44;Piso
2790;piso;55;2;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;50.73;Piso
1450;piso;68;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;21.32;Piso
1580;piso;45;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;35.11;Piso
2650;piso;100;4;2;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;26.5;Piso
2310;piso;121;0;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;19.09;Piso
2550;piso;70;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;36.43;Piso
1400;piso;52;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;26.92;Piso
900;piso;56;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;16.07;Piso
2505;piso;86;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.13;Piso
2500;piso;105;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.81;Piso
1850;dúplex;91;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;20.33;other
980;estudio;39;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;25.13;Piso
1510;ático;46;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.83;Piso
1800;piso;56;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.14;Piso
1850;estudio;45;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;41.11;Piso
1600;piso;35;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;45.71;Piso
1500;piso;45;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;33.33;Piso
1300;piso;55;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;23.64;Piso
