precio;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;barrio;distrito;ciudad;Ascensor;EXT-INT;vivienda;precio_m2;tipo_vivienda;Planta_num;barrio_encoded;estado_encoded;EXT-INT_encoded;Ascensor_encoded
297000;49;2;;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Interior;Piso;6061.22;Piso;;39;0;1;1
850000;89;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;9550.56;Piso;0.5;12;0;0;1
410000;45;;;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Dúplex;9111.11;Piso;5.0;39;0;0;1
222000;35;;;Segunda mano/buen estado;False;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Interior;Piso;6342.86;Piso;1.0;38;0;1;1
285000;41;;;Segunda mano/buen estado;True;True;Lavapiés-Embajadores;Centro;Madrid capital; No;Interior;Piso;6951.22;Piso;4.0;38;0;1;0
699000;70;2;2;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; No;Exterior;Ático;9985.71;Piso;4.0;30;0;0;0
1395000;102;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;13676.47;Piso;2.0;39;0;0;1
735000;135;3;2;Segunda mano/buen estado;False;True;Lavapiés-Embajadores;Centro;Madrid capital; No;Exterior;Piso;5444.44;Piso;2.0;38;0;0;0
769500;160;3;2;Segunda mano/para reformar;True;False;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;4809.38;Piso;1.0;38;1;0;1
650000;49;2;;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Interior;Piso;13265.31;Piso;4.0;12;0;1;1
